date,weather,temperature_high,temperature_low
2017年05月01日,多云,29℃,18℃
2017年05月02日,中雨,20℃,16℃
2017年05月03日,阴,22℃,19℃
2017年05月04日,中雨,24℃,18℃
2017年05月05日,多云,27℃,17℃
2017年05月06日,多云,24℃,16℃
2017年05月07日,多云,26℃,17℃
2017年05月08日,中雨,21℃,18℃
2017年05月09日,多云,28℃,16℃
2017年05月10日,晴,32℃,20℃
2017年05月11日,多云,33℃,21℃
2017年05月12日,中雨,26℃,19℃
2017年05月13日,多云,29℃,18℃
2017年05月14日,多云,28℃,19℃
2017年05月15日,多云,26℃,19℃
2017年05月16日,阵雨,23℃,16℃
2017年05月17日,多云,25℃,14℃
2017年05月18日,晴,29℃,17℃
2017年05月19日,晴,28℃,19℃
2017年05月20日,多云,28℃,19℃
2017年05月21日,多云,28℃,19℃
2017年05月22日,多云,28℃,21℃
2017年05月23日,中雨,29℃,21℃
2017年05月24日,小雨,23℃,16℃
2017年05月25日,多云,27℃,16℃
2017年05月26日,晴,28℃,17℃
2017年05月27日,晴,30℃,17℃
2017年05月28日,晴,30℃,19℃
2017年05月29日,晴,30℃,20℃
2017年05月30日,多云,30℃,21℃
2017年05月31日,雷阵雨,33℃,24℃
2017年06月01日,阵雨,28℃,22℃
2017年06月02日,多云,28℃,19℃
2017年06月03日,多云,30℃,18℃
2017年06月04日,多云,28℃,21℃
2017年06月05日,阵雨,24℃,22℃
2017年06月06日,阵雨,28℃,22℃
2017年06月07日,多云,30℃,21℃
2017年06月08日,晴,32℃,23℃
2017年06月09日,阵雨,32℃,24℃
2017年06月10日,阵雨,30℃,23℃
2017年06月11日,中雨,26℃,19℃
2017年06月12日,大到暴雨,22℃,20℃
2017年06月13日,暴雨,22℃,20℃
2017年06月14日,阴,26℃,18℃
2017年06月15日,多云,26℃,18℃
2017年06月16日,阴,26℃,19℃
2017年06月17日,多云,27℃,18℃
2017年06月18日,多云,29℃,19℃
2017年06月19日,阴,28℃,20℃
2017年06月20日,阵雨,27℃,20℃
2017年06月21日,阵雨,28℃,21℃
2017年06月22日,中雨,26℃,23℃
2017年06月23日,雷阵雨,30℃,25℃
2017年06月24日,大雨,26℃,23℃
2017年06月25日,暴雨,24℃,22℃
2017年06月26日,小雨,26℃,22℃
2017年06月27日,阵雨,26℃,22℃
2017年06月28日,阵雨,26℃,23℃
2017年06月29日,雷阵雨,30℃,24℃
2017年06月30日,雷阵雨,33℃,24℃
2017年07月01日,多云,34℃,25℃
2017年07月02日,多云,33℃,26℃
2017年07月03日,雷阵雨,33℃,26℃
2017年07月04日,雷阵雨,33℃,25℃
2017年07月05日,雷阵雨,34℃,26℃
2017年07月06日,雷阵雨,36℃,26℃
2017年07月07日,多云,36℃,26℃
2017年07月08日,多云,35℃,26℃
2017年07月09日,多云,36℃,26℃
2017年07月10日,多云,35℃,26℃
2017年07月11日,雷阵雨,34℃,26℃
2017年07月12日,多云,36℃,27℃
2017年07月13日,雷阵雨,36℃,27℃
2017年07月14日,多云,37℃,27℃
2017年07月15日,晴,38℃,28℃
2017年07月16日,多云,36℃,27℃
2017年07月17日,多云,35℃,27℃
2017年07月18日,多云,37℃,27℃
2017年07月19日,多云,38℃,27℃
2017年07月20日,晴,38℃,27℃
2017年07月21日,晴,39℃,27℃
2017年07月22日,晴,39℃,28℃
2017年07月23日,晴,39℃,28℃
2017年07月24日,晴,39℃,27℃
2017年07月25日,晴,39℃,28℃
2017年07月26日,晴,38℃,28℃
2017年07月27日,晴,38℃,28℃
2017年07月28日,晴,37℃,27℃
2017年07月29日,多云,34℃,28℃
2017年07月30日,中雨,32℃,27℃
2017年07月31日,阵雨,32℃,28℃
2017年08月01日,多云,33℃,28℃
2017年08月02日,多云,34℃,28℃
2017年08月03日,多云,36℃,27℃
2017年08月04日,多云,35℃,28℃
2017年08月05日,雷阵雨,36℃,27℃
2017年08月06日,雷阵雨,34℃,28℃
2017年08月07日,多云,38℃,28℃
2017年08月08日,多云,38℃,29℃
2017年08月09日,中雨,35℃,26℃
2017年08月10日,雷阵雨,32℃,25℃
2017年08月11日,多云,35℃,27℃
2017年08月12日,雷阵雨,35℃,27℃
2017年08月13日,多云,36℃,27℃
2017年08月14日,雷阵雨,37℃,27℃
2017年08月15日,雷阵雨,35℃,27℃
2017年08月16日,雷阵雨,34℃,27℃
2017年08月17日,雷阵雨,35℃,27℃
2017年08月18日,雷阵雨,34℃,24℃
2017年08月19日,雷阵雨,36℃,25℃
2017年08月20日,雷阵雨,35℃,25℃
2017年08月21日,雷阵雨,33℃,26℃
2017年08月22日,阵雨,33℃,27℃
2017年08月23日,多云,34℃,27℃
2017年08月24日,多云,36℃,27℃
2017年08月25日,雷阵雨,36℃,27℃
2017年08月26日,阵雨,33℃,26℃
2017年08月27日,多云,34℃,26℃
2017年08月28日,晴,36℃,26℃
2017年08月29日,多云,35℃,26℃
2017年08月30日,多云,33℃,25℃
2017年08月31日,多云,30℃,24℃
2017年09月01日,多云,30℃,22℃
2017年09月02日,阵雨,30℃,23℃
2017年09月03日,多云,31℃,24℃
2017年09月04日,多云,32℃,25℃
2017年09月05日,多云,35℃,26℃
2017年09月06日,雷阵雨,36℃,25℃
2017年09月07日,阵雨,28℃,24℃
2017年09月08日,阵雨,27℃,24℃
2017年09月09日,阴,29℃,24℃
2017年09月10日,多云,33℃,26℃
2017年09月11日,雷阵雨,31℃,23℃
2017年09月12日,阵雨,27℃,22℃
2017年09月13日,多云,28℃,23℃
2017年09月14日,阵雨,26℃,23℃
2017年09月15日,中雨,25℃,22℃
2017年09月16日,阴,26℃,20℃
2017年09月17日,多云,28℃,19℃
2017年09月18日,晴,30℃,20℃
2017年09月19日,多云,31℃,23℃
2017年09月20日,中雨,26℃,21℃
2017年09月21日,小雨,24℃,22℃
2017年09月22日,多云,28℃,22℃
2017年09月23日,中雨,25℃,22℃
2017年09月24日,阵雨,28℃,22℃
2017年09月25日,多云,32℃,26℃
2017年09月26日,多云,33℃,25℃
2017年09月27日,阵雨,28℃,22℃
2017年09月28日,阵雨,22℃,19℃
2017年09月29日,阴,25℃,22℃
2017年09月30日,阵雨,24℃,22℃
2017年10月01日,多云,31℃,25℃
2017年10月02日,阵雨,32℃,22℃
2017年10月03日,多云,25℃,20℃
2017年10月04日,多云,24℃,18℃
2017年10月05日,阴,25℃,19℃
2017年10月06日,阴,24℃,18℃
2017年10月07日,多云,26℃,18℃
2017年10月08日,多云,28℃,19℃
2017年10月09日,多云,29℃,22℃
2017年10月10日,多云,30℃,24℃
2017年10月11日,阵雨,24℃,20℃
2017年10月12日,小雨,22℃,18℃
2017年10月13日,小雨,21℃,18℃
2017年10月14日,阵雨,22℃,19℃
2017年10月15日,暴雨,20℃,18℃
2017年10月16日,中雨,22℃,19℃
2017年10月17日,小雨,20℃,18℃
2017年10月18日,阴,22℃,17℃
2017年10月19日,阴,22℃,17℃
2017年10月20日,阴,22℃,17℃
2017年10月21日,多云,22℃,16℃
2017年10月22日,多云,22℃,15℃
2017年10月23日,多云,21℃,13℃
2017年10月24日,晴,20℃,13℃
2017年10月25日,晴,22℃,12℃
2017年10月26日,多云,22℃,12℃
2017年10月27日,多云,22℃,15℃
2017年10月28日,多云,22℃,14℃
2017年10月29日,多云,20℃,11℃
2017年10月30日,多云,16℃,11℃
2017年10月31日,多云,19℃,10℃
2017年11月01日,多云,22℃,10℃
2017年11月02日,晴,24℃,13℃
2017年11月03日,多云,23℃,13℃
2017年11月04日,多云,17℃,12℃
2017年11月05日,多云,19℃,12℃
2017年11月06日,多云,22℃,15℃
2017年11月07日,小雨,22℃,15℃
2017年11月08日,多云,20℃,11℃
2017年11月09日,多云,22℃,13℃
2017年11月10日,小雨,20℃,12℃
2017年11月11日,多云,17℃,10℃
2017年11月12日,多云,18℃,12℃
2017年11月13日,多云,20℃,14℃
